Country;Code;Rank;GDP
Albania;ALB;94;8.51550112324915
Argentina;ARG;46;10.3982494646904
Armenia;ARM;37;5.69999999999997
Australia;AUS;18;2.23621243944461
Austria;AUT;64;4.55685091308877
Azerbaijan;AZE;51;5.60003727280338
Belgium;BEL;43;6.13386596356445
Bangladesh;BGD;43;6.93867508910159
Bulgaria;BGR;18;7.63460971569079
Bosnia and Herzegovina;BIH;40;7.54559112979621
Belarus;BLR;24;2.29987941172813
Bolivia;BOL;77;6.1058042252093
Brazil;BRA;35;4.61942162067312
Botswana;BWA;107;11.3700218626674
Canada;CAN;5;4.54088730942124
Switzerland;CHE;48;4.22171657654073
Chile;CHL;84;11.6682247016219
China;CHN;1;8.1097925807738
Colombia;COL;61;10.6770130738261
Costa Rica;CRI;84;7.57956529907922
Cyprus;CYP;77;6.63892696813528
Czechia;CZE;16;3.54422344266294
Germany;DEU;12;2.62698726672524
Denmark;DNK;67;4.85570758570233
Algeria;DZA;89;3.50000000049758
Ecuador;ECU;73;4.23525124172572
Egypt, Arab Rep.;EGY;103;3.3267420905086
Spain;ESP;63;5.5195949732682
Estonia;EST;50;8.01346292400842
Finland;FIN;69;2.97322935640895
France;FRA;27;6.81658913649873
United Kingdom;GBR;9;7.52491037367686
Georgia;GEO;41;10.4655372923886
Ghana;GHA;94;5.35647789699578
Greece;GRC;64;8.43442550167381
Hong Kong SAR, China;HKG;21;6.34310619843421
Honduras;HND;92;12.5340960157739
Croatia;HRV;21;13.0722049215979
Hungary;HUN;32;7.11731531479809
Indonesia;IDN;33;3.69124011191289
India;IND;26;8.68122873083119
Ireland;IRL;93;13.5882471079549
Iran, Islamic Rep.;IRN;29;4.71977773157164
Iraq;IRQ;89;2.78333543533222
Iceland;ISL;94;4.40304478596893
Israel;ISR;7;8.61199034846989
Italy;ITA;7;6.73727712298924
Japan;JPN;25;1.65707111732294
Kazakhstan;KAZ;20;4.29999999999981
Kenya;KEN;103;7.51735538703886
Kyrgyz Republic;KGZ;73;3.61061269547005
Korea, Rep.;KOR;3;4.14532395430925
Sri Lanka;LKA;81;3.32676381781447
Lithuania;LTU;76;5.98103211278502
Luxembourg;LUX;98;5.10245544656804
Latvia;LVA;48;4.06807386332741
Macao SAR, China;MAC;54;19.267056376875
Morocco;MAR;75;7.9296679419552
Moldova;MDA;51;13.9445896006366
Mexico;MEX;34;4.72056529768081
North Macedonia;MKD;45;3.96426417144993
Montenegro;MNE;79;12.4343589851741
Mongolia;MNG;11;1.63676957584143
Mauritania;MRT;98;2.44536827261913
Malaysia;MYS;41;3.09215964982188
Nigeria;NGA;100;3.64718654100696
Nicaragua;NIC;81;10.3443407049189
Netherlands;NLD;47;4.86321914933848
Norway;NOR;51;3.88093603636767
Nepal;NPL;91;4.24694014145481
New Zealand;NZL;69;3.71401011995567
Oman;OMN;103;3.09227668737446
Pakistan;PAK;103;6.48708677384843
Panama;PAN;72;15.3358739290709
Peru;PER;30;13.3495090777977
Philippines;PHL;23;5.70315596840621
Poland;POL;13;6.84771336241919
Puerto Rico;PRI;79;0.207432828688709
Portugal;PRT;54;5.482391708458
Paraguay;PRY;87;4.10241341536333
Romania;ROU;27;5.10012819668945
Russian Federation;RUS;2;4.74958409996398
Rwanda;RWA;101;10.88451916081
Saudi Arabia;SAU;38;3.24092976848051
Singapore;SGP;15;7.61396261502647
El Salvador;SLV;71;10.2784761168053
Serbia;SRB;31;7.54991253537386
Slovak Republic;SVK;39;3.01430286072679
Slovenia;SVN;64;8.21106259181281
Sweden;SWE;57;5.07508472544021
Syrian Arab Republic;SYR;68;
Thailand;THA;16;1.53383558441951
Tajikistan;TJK;59;9.2001904308498
Turkmenistan;TKM;58;
Trinidad and Tobago;TTO;97;-1.02654016223218
Tunisia;TUN;56;4.32277635659793
Turkiye;TUR;35;11.3534964080772
Taiwan;TWN;9;
Uganda;UGA;101;3.53658034070898
Ukraine;UKR;6;3.40000000000001
Uruguay;URY;88;4.36700931644991
United States;USA;4;5.94548476122172
Uzbekistan;UZB;61;7.42011024162757
Venezuela, RB;VEN;83;
Vietnam;VNM;14;2.56155114232494
Kosovo;XKX;84;10.7456116066371
South Africa;ZAF;60;4.9130966818804
